Query,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232
Bernie Mac,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tim Russert,1,6,1.0,1.0,5.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaac Hayes,4,2,2.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,25.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,100.0,7.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
George Carlin,9,8,9.0,8.0,7.0,6.0,7.0,7.0,7.0,10.0,12.0,13.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,6.0,7.0,9.0,10.0,8.0,7.0,6.0,5.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,7.0,5.0,4.0,100.0,18.0,8.0,6.0,6.0,7.0,7.0,7.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,9.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
DIY Wedding,14,16,19.0,30.0,11.0,0.0,22.0,13.0,20.0,19.0,10.0,19.0,15.0,22.0,22.0,12.0,16.0,29.0,15.0,16.0,16.0,15.0,24.0,12.0,22.0,20.0,18.0,22.0,24.0,19.0,23.0,17.0,6.0,11.0,11.0,10.0,23.0,22.0,20.0,28.0,17.0,29.0,31.0,28.0,23.0,23.0,20.0,16.0,34.0,28.0,29.0,36.0,28.0,35.0,36.0,36.0,33.0,32.0,26.0,29.0,49.0,46.0,45.0,50.0,51.0,52.0,60.0,55.0,50.0,45.0,43.0,34.0,64.0,66.0,62.0,57.0,58.0,62.0,60.0,62.0,47.0,45.0,42.0,34.0,71.0,63.0,56.0,70.0,67.0,71.0,67.0,78.0,67.0,62.0,58.0,50.0,96.0,93.0,86.0,91.0,91.0,100.0,99.0,86.0,84.0,72.0,57.0,48.0,93.0,81.0,76.0,73.0,73.0,83.0,85.0,82.0,68.0,69.0,55.0,49.0,95.0,82.0,81.0,78.0,81.0,75.0,80.0,79.0,66.0,62.0,49.0,43.0,76.0,69.0,69.0,68.0,67.0,71.0,74.0,72.0,62.0,52.0,43.0,40.0,72.0,67.0,67.0,68.0,67.0,65.0,62.0,61.0,61.0,54.0,44.0,37.0,65.0,58.0,54.0,58.0,60.0,60.0,58.0,55.0,52.0,50.0,39.0,35.0,58.0,48.0,52.0,51.0,56.0,51.0,53.0,52.0,46.0,42.0,34.0,32.0,48.0,43.0,44.0,40.0,42.0,46.0,44.0,44.0,39.0,35.0,31.0,27.0,44.0,42.0,26.0,19.0,22.0,29.0,31.0,32.0,28.0,26.0,19.0,17.0,27.0,23.0,26.0,28.0,29.0,27.0,31.0,30.0,28.0,27.0,20.0,18.0,33.0,31.0,31.0,29.0,27.0,31.0,31.0,30.0,24.0,23.0,18.0,16.0,27.0,24.0,23.0,25.0
DIY TV,100,76,36.0,60.0,67.0,86.0,59.0,73.0,74.0,42.0,60.0,60.0,65.0,75.0,42.0,63.0,63.0,69.0,75.0,57.0,52.0,50.0,51.0,61.0,52.0,55.0,54.0,60.0,40.0,47.0,56.0,58.0,48.0,49.0,50.0,52.0,54.0,50.0,48.0,59.0,44.0,44.0,45.0,50.0,41.0,45.0,47.0,48.0,55.0,46.0,47.0,35.0,43.0,41.0,48.0,46.0,37.0,36.0,41.0,44.0,54.0,45.0,34.0,41.0,32.0,34.0,38.0,39.0,34.0,35.0,39.0,36.0,40.0,33.0,36.0,32.0,33.0,32.0,32.0,36.0,32.0,34.0,36.0,31.0,38.0,40.0,37.0,50.0,50.0,49.0,45.0,48.0,49.0,37.0,33.0,34.0,37.0,32.0,31.0,33.0,33.0,36.0,34.0,30.0,36.0,36.0,33.0,35.0,36.0,37.0,34.0,36.0,28.0,34.0,33.0,41.0,38.0,41.0,38.0,41.0,47.0,39.0,40.0,39.0,38.0,37.0,43.0,40.0,46.0,44.0,41.0,46.0,47.0,45.0,46.0,42.0,40.0,41.0,42.0,45.0,47.0,55.0,48.0,51.0,52.0,49.0,45.0,45.0,43.0,44.0,47.0,46.0,48.0,58.0,49.0,51.0,57.0,47.0,51.0,45.0,46.0,45.0,51.0,47.0,46.0,57.0,54.0,54.0,54.0,47.0,48.0,40.0,42.0,42.0,45.0,44.0,49.0,52.0,44.0,50.0,50.0,45.0,42.0,40.0,38.0,38.0,40.0,39.0,41.0,49.0,48.0,48.0,45.0,40.0,47.0,69.0,61.0,53.0,59.0,53.0,50.0,48.0,50.0,51.0,53.0,46.0,41.0,37.0,32.0,33.0,33.0,35.0,32.0,39.0,38.0,36.0,51.0,37.0,37.0,38.0,35.0,39.0,40.0,34.0,31.0,41.0,39.0,33.0,37.0,32.0,32.0,30.0
DIY Solar,4,7,9.0,13.0,11.0,19.0,18.0,15.0,8.0,14.0,5.0,6.0,4.0,0.0,12.0,9.0,15.0,17.0,12.0,12.0,6.0,8.0,12.0,12.0,7.0,13.0,17.0,17.0,13.0,17.0,18.0,17.0,11.0,10.0,10.0,10.0,8.0,14.0,14.0,16.0,21.0,15.0,14.0,15.0,12.0,15.0,12.0,11.0,14.0,14.0,16.0,22.0,26.0,31.0,26.0,21.0,21.0,25.0,18.0,15.0,19.0,20.0,24.0,26.0,28.0,26.0,28.0,29.0,25.0,23.0,19.0,20.0,21.0,18.0,20.0,18.0,19.0,19.0,19.0,22.0,17.0,17.0,17.0,14.0,14.0,16.0,19.0,21.0,20.0,21.0,19.0,21.0,17.0,17.0,17.0,15.0,15.0,19.0,17.0,19.0,21.0,20.0,22.0,20.0,19.0,17.0,18.0,14.0,17.0,16.0,18.0,18.0,20.0,17.0,17.0,17.0,16.0,17.0,16.0,15.0,17.0,17.0,15.0,18.0,20.0,21.0,20.0,18.0,18.0,17.0,15.0,14.0,14.0,15.0,20.0,18.0,21.0,20.0,18.0,17.0,16.0,16.0,15.0,13.0,16.0,14.0,16.0,18.0,20.0,19.0,17.0,16.0,15.0,15.0,15.0,14.0,16.0,15.0,16.0,18.0,19.0,20.0,20.0,100.0,18.0,17.0,15.0,13.0,14.0,15.0,15.0,17.0,20.0,17.0,16.0,15.0,14.0,14.0,13.0,14.0,13.0,15.0,16.0,17.0,18.0,18.0,18.0,17.0,15.0,16.0,15.0,13.0,13.0,14.0,15.0,20.0,27.0,25.0,21.0,19.0,15.0,14.0,13.0,12.0,13.0,14.0,16.0,16.0,17.0,21.0,15.0,16.0,14.0,16.0,14.0,12.0,14.0,16.0,20.0,20.0,21.0,23.0,22.0,21.0,18.0,16.0,13.0,12.0,13.0,16.0,14.0,15.0
DIY Tile,94,58,92.0,96.0,74.0,55.0,62.0,65.0,50.0,36.0,56.0,64.0,100.0,81.0,76.0,81.0,70.0,63.0,65.0,74.0,51.0,60.0,64.0,31.0,77.0,55.0,62.0,69.0,63.0,84.0,76.0,72.0,83.0,57.0,90.0,66.0,69.0,98.0,82.0,80.0,67.0,57.0,79.0,57.0,47.0,65.0,68.0,52.0,65.0,79.0,72.0,59.0,63.0,55.0,52.0,53.0,44.0,39.0,58.0,42.0,60.0,68.0,55.0,54.0,46.0,44.0,45.0,59.0,48.0,50.0,53.0,44.0,63.0,55.0,58.0,55.0,47.0,38.0,46.0,46.0,43.0,37.0,40.0,31.0,56.0,48.0,50.0,50.0,47.0,31.0,45.0,52.0,53.0,47.0,50.0,43.0,67.0,58.0,49.0,45.0,44.0,53.0,55.0,51.0,54.0,48.0,48.0,44.0,52.0,48.0,51.0,49.0,41.0,45.0,51.0,54.0,47.0,42.0,48.0,47.0,54.0,54.0,49.0,47.0,48.0,42.0,47.0,48.0,43.0,47.0,43.0,50.0,46.0,54.0,47.0,48.0,49.0,49.0,56.0,51.0,49.0,45.0,46.0,50.0,46.0,53.0,49.0,55.0,51.0,48.0,54.0,49.0,50.0,51.0,46.0,45.0,53.0,47.0,55.0,51.0,48.0,57.0,57.0,56.0,57.0,53.0,49.0,43.0,54.0,55.0,53.0,49.0,49.0,49.0,55.0,47.0,47.0,45.0,46.0,40.0,45.0,47.0,44.0,50.0,44.0,42.0,47.0,44.0,42.0,39.0,41.0,39.0,45.0,45.0,45.0,64.0,73.0,61.0,55.0,55.0,49.0,43.0,44.0,41.0,53.0,51.0,44.0,42.0,44.0,40.0,46.0,41.0,39.0,34.0,37.0,33.0,47.0,44.0,42.0,37.0,35.0,35.0,43.0,41.0,35.0,33.0,36.0,33.0,41.0,38.0,38.0,37.0
DIY Audio,69,100,56.0,80.0,60.0,64.0,75.0,63.0,69.0,68.0,85.0,87.0,74.0,74.0,64.0,46.0,61.0,64.0,68.0,52.0,54.0,60.0,52.0,59.0,49.0,57.0,66.0,48.0,44.0,52.0,53.0,42.0,46.0,40.0,44.0,57.0,42.0,54.0,57.0,41.0,42.0,33.0,40.0,41.0,34.0,49.0,41.0,38.0,43.0,44.0,39.0,32.0,36.0,38.0,40.0,39.0,38.0,37.0,35.0,36.0,44.0,39.0,40.0,43.0,39.0,35.0,36.0,38.0,33.0,35.0,37.0,35.0,32.0,35.0,34.0,31.0,29.0,31.0,28.0,26.0,26.0,29.0,29.0,31.0,27.0,30.0,28.0,27.0,27.0,29.0,26.0,27.0,24.0,30.0,27.0,30.0,32.0,30.0,26.0,27.0,25.0,24.0,24.0,22.0,22.0,24.0,25.0,28.0,26.0,29.0,26.0,26.0,24.0,24.0,25.0,25.0,23.0,23.0,25.0,23.0,24.0,24.0,23.0,22.0,22.0,23.0,21.0,21.0,20.0,20.0,23.0,26.0,23.0,21.0,22.0,19.0,19.0,19.0,19.0,21.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,18.0,19.0,18.0,18.0,18.0,17.0,21.0,19.0,20.0,21.0,20.0,19.0,18.0,17.0,15.0,19.0,18.0,19.0,20.0,18.0,17.0,19.0,19.0,16.0,16.0,16.0,14.0,16.0,15.0,15.0,16.0,15.0,17.0,17.0,15.0,15.0,15.0,13.0,12.0,13.0,12.0,15.0,15.0,16.0,15.0,16.0,17.0,14.0,18.0,18.0,14.0,14.0,14.0,13.0,11.0,11.0,15.0,13.0,15.0,13.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,15.0,13.0,12.0,12.0,12.0,11.0,9.0,11.0,10.0,11.0,11.0,10.0,13.0,14.0,12.0,11.0
How To Draw,39,38,35.0,35.0,33.0,31.0,30.0,29.0,33.0,36.0,34.0,30.0,32.0,33.0,33.0,32.0,33.0,29.0,30.0,29.0,31.0,33.0,31.0,30.0,30.0,33.0,31.0,29.0,30.0,26.0,25.0,25.0,29.0,29.0,29.0,27.0,25.0,26.0,26.0,27.0,25.0,24.0,25.0,25.0,27.0,33.0,32.0,28.0,28.0,32.0,31.0,31.0,34.0,28.0,28.0,29.0,35.0,36.0,37.0,34.0,36.0,37.0,37.0,36.0,39.0,37.0,32.0,34.0,39.0,43.0,44.0,39.0,39.0,44.0,43.0,43.0,46.0,37.0,36.0,39.0,41.0,46.0,45.0,41.0,41.0,44.0,46.0,42.0,42.0,37.0,36.0,40.0,47.0,46.0,47.0,44.0,45.0,52.0,61.0,59.0,53.0,47.0,44.0,44.0,51.0,54.0,51.0,47.0,49.0,52.0,50.0,50.0,51.0,46.0,45.0,46.0,51.0,58.0,59.0,55.0,55.0,55.0,57.0,56.0,57.0,53.0,47.0,51.0,62.0,65.0,65.0,61.0,58.0,62.0,62.0,61.0,65.0,53.0,50.0,57.0,69.0,72.0,71.0,64.0,71.0,74.0,69.0,69.0,67.0,60.0,50.0,56.0,71.0,74.0,74.0,65.0,67.0,74.0,73.0,67.0,68.0,57.0,52.0,55.0,69.0,72.0,72.0,69.0,65.0,73.0,69.0,66.0,68.0,55.0,51.0,56.0,67.0,76.0,77.0,69.0,67.0,74.0,71.0,69.0,73.0,58.0,53.0,59.0,75.0,76.0,75.0,66.0,70.0,74.0,82.0,100.0,85.0,67.0,56.0,63.0,75.0,67.0,61.0,60.0,60.0,62.0,57.0,56.0,56.0,51.0,48.0,49.0,59.0,61.0,59.0,57.0,60.0,63.0,62.0,66.0,69.0,57.0,48.0,54.0,63.0,66.0,65.0,61.0,59.0,64.0,64.0,53.0
How To Kiss,20,21,22.0,22.0,21.0,21.0,20.0,17.0,16.0,21.0,21.0,19.0,19.0,20.0,19.0,19.0,19.0,19.0,21.0,16.0,16.0,18.0,17.0,17.0,16.0,16.0,14.0,15.0,15.0,16.0,17.0,14.0,14.0,16.0,15.0,17.0,15.0,16.0,15.0,17.0,16.0,19.0,20.0,19.0,19.0,20.0,21.0,23.0,20.0,20.0,20.0,20.0,21.0,22.0,23.0,24.0,28.0,29.0,31.0,36.0,37.0,42.0,34.0,42.0,40.0,39.0,42.0,40.0,41.0,51.0,52.0,55.0,53.0,46.0,52.0,51.0,52.0,44.0,49.0,43.0,41.0,44.0,40.0,37.0,35.0,31.0,34.0,39.0,37.0,40.0,39.0,39.0,37.0,67.0,100.0,45.0,49.0,83.0,68.0,36.0,35.0,39.0,40.0,38.0,37.0,35.0,36.0,37.0,37.0,39.0,40.0,40.0,41.0,42.0,42.0,40.0,38.0,37.0,39.0,43.0,40.0,39.0,39.0,40.0,40.0,41.0,39.0,41.0,35.0,36.0,39.0,42.0,40.0,38.0,38.0,40.0,43.0,41.0,38.0,38.0,34.0,34.0,36.0,36.0,32.0,30.0,29.0,28.0,32.0,30.0,31.0,29.0,28.0,27.0,26.0,27.0,24.0,24.0,23.0,23.0,23.0,23.0,21.0,19.0,18.0,21.0,17.0,19.0,17.0,14.0,14.0,15.0,16.0,16.0,15.0,16.0,14.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,11.0,12.0,12.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,12.0,12.0,11.0,12.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,10.0,11.0
How To Write,86,94,81.0,84.0,74.0,71.0,67.0,66.0,75.0,78.0,83.0,66.0,66.0,83.0,71.0,70.0,74.0,61.0,56.0,54.0,65.0,75.0,77.0,57.0,68.0,74.0,73.0,68.0,66.0,56.0,50.0,52.0,65.0,71.0,66.0,53.0,60.0,66.0,64.0,62.0,60.0,52.0,50.0,50.0,60.0,66.0,61.0,52.0,60.0,65.0,65.0,67.0,62.0,53.0,50.0,54.0,68.0,66.0,67.0,55.0,60.0,65.0,70.0,65.0,64.0,58.0,50.0,57.0,72.0,75.0,74.0,62.0,66.0,74.0,75.0,71.0,71.0,60.0,55.0,59.0,73.0,76.0,69.0,63.0,65.0,69.0,71.0,69.0,66.0,59.0,55.0,59.0,70.0,74.0,75.0,64.0,68.0,69.0,68.0,69.0,66.0,60.0,57.0,61.0,77.0,73.0,72.0,59.0,68.0,72.0,71.0,73.0,67.0,62.0,58.0,63.0,80.0,81.0,72.0,64.0,73.0,78.0,77.0,79.0,73.0,66.0,60.0,63.0,84.0,79.0,75.0,64.0,70.0,73.0,77.0,77.0,74.0,68.0,64.0,65.0,78.0,79.0,75.0,66.0,67.0,78.0,70.0,71.0,67.0,66.0,55.0,60.0,75.0,74.0,74.0,62.0,71.0,76.0,78.0,72.0,70.0,60.0,58.0,65.0,77.0,78.0,75.0,63.0,70.0,74.0,70.0,70.0,70.0,60.0,60.0,65.0,75.0,78.0,69.0,58.0,67.0,74.0,74.0,68.0,66.0,62.0,61.0,64.0,78.0,74.0,70.0,57.0,68.0,75.0,69.0,75.0,71.0,65.0,65.0,71.0,87.0,76.0,68.0,66.0,69.0,79.0,74.0,69.0,66.0,65.0,61.0,62.0,77.0,75.0,74.0,66.0,92.0,100.0,100.0,95.0,88.0,84.0,73.0,80.0,97.0,94.0,88.0,82.0,88.0,95.0,93.0,82.0
How To Cook,13,13,12.0,10.0,12.0,11.0,12.0,12.0,12.0,15.0,20.0,17.0,14.0,14.0,15.0,12.0,14.0,13.0,15.0,15.0,13.0,18.0,23.0,23.0,18.0,16.0,15.0,16.0,15.0,15.0,17.0,17.0,17.0,18.0,24.0,22.0,18.0,17.0,14.0,18.0,15.0,15.0,18.0,17.0,17.0,19.0,28.0,28.0,21.0,19.0,22.0,19.0,20.0,19.0,22.0,22.0,21.0,25.0,36.0,35.0,29.0,28.0,27.0,28.0,27.0,27.0,28.0,31.0,29.0,35.0,45.0,43.0,37.0,35.0,33.0,34.0,32.0,31.0,36.0,37.0,35.0,40.0,53.0,50.0,45.0,42.0,38.0,41.0,39.0,38.0,40.0,40.0,40.0,46.0,59.0,57.0,48.0,43.0,39.0,46.0,42.0,43.0,47.0,44.0,47.0,48.0,67.0,66.0,53.0,52.0,53.0,45.0,47.0,50.0,52.0,51.0,50.0,59.0,71.0,71.0,60.0,53.0,54.0,55.0,50.0,51.0,53.0,54.0,51.0,55.0,77.0,72.0,61.0,57.0,57.0,61.0,56.0,56.0,58.0,59.0,57.0,57.0,80.0,81.0,64.0,60.0,57.0,54.0,56.0,55.0,58.0,51.0,53.0,58.0,75.0,71.0,65.0,59.0,58.0,62.0,57.0,58.0,61.0,58.0,58.0,63.0,82.0,82.0,66.0,62.0,60.0,59.0,52.0,58.0,59.0,55.0,57.0,58.0,82.0,80.0,70.0,59.0,61.0,61.0,56.0,57.0,59.0,59.0,58.0,59.0,79.0,78.0,72.0,62.0,72.0,100.0,88.0,75.0,68.0,71.0,67.0,66.0,96.0,96.0,76.0,73.0,64.0,62.0,61.0,57.0,59.0,58.0,57.0,61.0,85.0,83.0,71.0,59.0,55.0,58.0,54.0,57.0,61.0,58.0,56.0,60.0,77.0,77.0,66.0,61.0,57.0,71.0
How To Tie,29,29,31.0,34.0,40.0,34.0,28.0,29.0,29.0,40.0,32.0,43.0,27.0,34.0,31.0,33.0,37.0,34.0,29.0,28.0,31.0,42.0,34.0,41.0,29.0,31.0,28.0,32.0,36.0,33.0,28.0,29.0,33.0,43.0,34.0,46.0,28.0,31.0,28.0,31.0,32.0,33.0,29.0,27.0,34.0,30.0,29.0,38.0,27.0,27.0,27.0,29.0,31.0,27.0,25.0,26.0,28.0,37.0,30.0,36.0,28.0,26.0,25.0,28.0,35.0,32.0,26.0,27.0,33.0,39.0,30.0,39.0,29.0,30.0,31.0,32.0,34.0,32.0,31.0,32.0,64.0,78.0,67.0,76.0,67.0,60.0,62.0,63.0,66.0,70.0,75.0,61.0,42.0,49.0,66.0,100.0,99.0,93.0,79.0,36.0,39.0,44.0,42.0,42.0,45.0,45.0,40.0,52.0,42.0,41.0,43.0,42.0,43.0,40.0,38.0,40.0,39.0,42.0,42.0,48.0,35.0,36.0,37.0,38.0,43.0,40.0,35.0,37.0,35.0,39.0,35.0,44.0,34.0,33.0,32.0,36.0,39.0,38.0,35.0,35.0,36.0,40.0,34.0,43.0,31.0,30.0,30.0,33.0,36.0,34.0,32.0,31.0,33.0,35.0,29.0,37.0,28.0,29.0,28.0,32.0,34.0,32.0,31.0,29.0,31.0,32.0,28.0,34.0,25.0,26.0,25.0,28.0,30.0,30.0,28.0,27.0,27.0,30.0,25.0,31.0,24.0,23.0,23.0,26.0,27.0,30.0,26.0,26.0,27.0,27.0,25.0,28.0,23.0,23.0,20.0,26.0,31.0,30.0,30.0,27.0,23.0,24.0,19.0,22.0,18.0,19.0,20.0,22.0,24.0,24.0,24.0,24.0,23.0,25.0,20.0,23.0,19.0,20.0,21.0,24.0,25.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,21.0,20.0,20.0,22.0
